text,type,start,end,method,article_id,article_url,article_domain,article_theme
Vancouver,PERSON,75,84,nltk,8,https://www.winnipegfreepress.com/canada/2025/04/19/liberals-ndp-set-to-launch-platforms-today-main-leaders-near-toronto-vancouver,winnipegfreepress.com,LEADER
English,GPE,55,62,nltk,9,https://nationalpost.com/news/party-leaders-reporters-questions-english-debate,nationalpost.com,LEADER
Canada,GPE,0,6,nltk,10,https://www.washingtonexaminer.com/news/world/3384837/canada-election-question-who-can-stand-up-to-trump/,washingtonexaminer.com,LEADER
Donald Trump,PERSON,50,62,nltk,10,https://www.washingtonexaminer.com/news/world/3384837/canada-election-question-who-can-stand-up-to-trump/,washingtonexaminer.com,LEADER
Liberal,ORGANIZATION,15,22,nltk,11,https://www.winnipegfreepress.com/canada/2025/04/13/conservative-liberal-leaders-to-appear-on-tout-le-monde-en-parle-sunday-evening,winnipegfreepress.com,LEADER
Tout,GPE,45,49,nltk,11,https://www.winnipegfreepress.com/canada/2025/04/13/conservative-liberal-leaders-to-appear-on-tout-le-monde-en-parle-sunday-evening,winnipegfreepress.com,LEADER
Latest,GPE,4,10,nltk,12,https://www.winnipegfreepress.com/canada/2025/04/16/the-latest-four-federal-leaders-face-off-in-french-language-leaders-debate,winnipegfreepress.com,LEADER
French,GPE,46,52,nltk,12,https://www.winnipegfreepress.com/canada/2025/04/16/the-latest-four-federal-leaders-face-off-in-french-language-leaders-debate,winnipegfreepress.com,LEADER
Bureaucracy,GPE,0,11,nltk,13,https://www.geo.tv/latest/600749-pti-deplores-non-implementation-of-court-orders,geo.tv,LEADER
Imran,GPE,38,43,nltk,13,https://www.geo.tv/latest/600749-pti-deplores-non-implementation-of-court-orders,geo.tv,LEADER
Omar Ayub,PERSON,51,60,nltk,13,https://www.geo.tv/latest/600749-pti-deplores-non-implementation-of-court-orders,geo.tv,LEADER
Canadian,GPE,0,8,nltk,14,https://www.bournemouthecho.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,bournemouthecho.co.uk,LEADER
Mark Carney,PERSON,16,27,nltk,14,https://www.bournemouthecho.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,bournemouthecho.co.uk,LEADER
Trump,PERSON,33,38,nltk,14,https://www.bournemouthecho.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,bournemouthecho.co.uk,LEADER
LATEST,ORGANIZATION,4,10,nltk,15,https://torontosun.com/news/national/federal_elections/the-latest-canada-votes-april-17,torontosun.com,LEADER
Carney,GPE,0,6,nltk,16,https://www.durangoherald.com/articles/carney-says-trump-key-issue-in-canadas-election-while-conservative-rival-says-country-needs-change/,durangoherald.com,LEADER
Trump,PERSON,12,17,nltk,16,https://www.durangoherald.com/articles/carney-says-trump-key-issue-in-canadas-election-while-conservative-rival-says-country-needs-change/,durangoherald.com,LEADER
Canada,GPE,31,37,nltk,16,https://www.durangoherald.com/articles/carney-says-trump-key-issue-in-canadas-election-while-conservative-rival-says-country-needs-change/,durangoherald.com,LEADER
Canadian,GPE,0,8,nltk,17,https://www.theargus.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,theargus.co.uk,LEADER
Mark Carney,PERSON,16,27,nltk,17,https://www.theargus.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,theargus.co.uk,LEADER
Trump,PERSON,33,38,nltk,17,https://www.theargus.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,theargus.co.uk,LEADER
New,GPE,0,3,nltk,18,https://www.birminghammail.co.uk/black-country/new-leader-appointed-dudley-labour-31401873,birminghammail.co.uk,LEADER
Dudley Labour,PERSON,25,38,nltk,18,https://www.birminghammail.co.uk/black-country/new-leader-appointed-dudley-labour-31401873,birminghammail.co.uk,LEADER
Canadian,GPE,0,8,nltk,19,https://www.echo-news.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,echo-news.co.uk,LEADER
Mark Carney,PERSON,16,27,nltk,19,https://www.echo-news.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,echo-news.co.uk,LEADER
Trump,PERSON,33,38,nltk,19,https://www.echo-news.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,echo-news.co.uk,LEADER
Canadian,GPE,0,8,nltk,20,https://www.echo-news.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,echo-news.co.uk,LEADER
Trump,PERSON,29,34,nltk,20,https://www.echo-news.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,echo-news.co.uk,LEADER
Canadian,GPE,0,8,nltk,21,https://www.bournemouthecho.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,bournemouthecho.co.uk,LEADER
Trump,PERSON,29,34,nltk,21,https://www.bournemouthecho.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,bournemouthecho.co.uk,LEADER
Advance,GPE,0,7,nltk,22,https://www.therecord.com/politics/federal-elections/advance-polls-open-as-federal-leaders-hit-campaign-trail-after-debates/article_9895e24f-b2a3-5710-a105-badc1b899373.html,therecord.com,LEADER
Canadian,GPE,0,8,nltk,23,https://www.salisburyjournal.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,salisburyjournal.co.uk,LEADER
Trump,PERSON,29,34,nltk,23,https://www.salisburyjournal.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,salisburyjournal.co.uk,LEADER
Canada,GPE,0,6,nltk,24,https://www.winnipegfreepress.com/canada/2025/04/18/canada-federal-election-2025-where-the-leaders-are-on-friday-april-18,winnipegfreepress.com,LEADER
Canada,GPE,0,6,nltk,25,https://www.winnipegfreepress.com/canada/2025/04/19/canada-federal-election-2025-where-the-leaders-are-on-saturday-april-19,winnipegfreepress.com,LEADER
Edo,GPE,0,3,nltk,26,https://dailypost.ng/2025/04/08/edo-assembly-pdp-nominates-minority-leader-minority-whip/,dailypost.ng,LEADER
Assembly,PERSON,4,12,nltk,26,https://dailypost.ng/2025/04/08/edo-assembly-pdp-nominates-minority-leader-minority-whip/,dailypost.ng,LEADER
PDP,ORGANIZATION,15,18,nltk,26,https://dailypost.ng/2025/04/08/edo-assembly-pdp-nominates-minority-leader-minority-whip/,dailypost.ng,LEADER
Minority Leader,ORGANIZATION,29,44,nltk,26,https://dailypost.ng/2025/04/08/edo-assembly-pdp-nominates-minority-leader-minority-whip/,dailypost.ng,LEADER
Minority Whip,ORGANIZATION,47,60,nltk,26,https://dailypost.ng/2025/04/08/edo-assembly-pdp-nominates-minority-leader-minority-whip/,dailypost.ng,LEADER
Green,GPE,0,5,nltk,27,https://www.theglobeandmail.com/politics/federal-election/article-green-party-removed-from-both-election-debates/,theglobeandmail.com,LEADER
Party,ORGANIZATION,6,11,nltk,27,https://www.theglobeandmail.com/politics/federal-election/article-green-party-removed-from-both-election-debates/,theglobeandmail.com,LEADER
Canadian,GPE,0,8,nltk,28,https://www.lancashiretelegraph.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,lancashiretelegraph.co.uk,LEADER
Mark Carney,PERSON,16,27,nltk,28,https://www.lancashiretelegraph.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,lancashiretelegraph.co.uk,LEADER
Trump,PERSON,33,38,nltk,28,https://www.lancashiretelegraph.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,lancashiretelegraph.co.uk,LEADER
Canadian,GPE,0,8,nltk,29,https://www.lancashiretelegraph.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,lancashiretelegraph.co.uk,LEADER
Trump,PERSON,29,34,nltk,29,https://www.lancashiretelegraph.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,lancashiretelegraph.co.uk,LEADER
Party,GPE,0,5,nltk,30,https://windsorstar.com:443/news/politics/federal_election/carney-poilievre-english-debate-montreal-2025,windsorstar.com,LEADER
Carney,PERSON,81,87,nltk,30,https://windsorstar.com:443/news/politics/federal_election/carney-poilievre-english-debate-montreal-2025,windsorstar.com,LEADER
Front,GPE,0,5,nltk,31,https://www.cbc.ca/news/politics/french-language-debate-main-file-1.7512429,cbc.ca,LEADER
Carney,PERSON,15,21,nltk,31,https://www.cbc.ca/news/politics/french-language-debate-main-file-1.7512429,cbc.ca,LEADER
French,GPE,51,57,nltk,31,https://www.cbc.ca/news/politics/french-language-debate-main-file-1.7512429,cbc.ca,LEADER
Canadian,GPE,0,8,nltk,32,https://www.thetelegraphandargus.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,thetelegraphandargus.co.uk,LEADER
Trump,PERSON,29,34,nltk,32,https://www.thetelegraphandargus.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,thetelegraphandargus.co.uk,LEADER
Lee Jae,PERSON,0,7,nltk,33,https://english.hani.co.kr/arti/english_edition/e_national/1191811.html,english.hani.co.kr,LEADER
Canadian,GPE,0,8,nltk,34,https://www.eadt.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,eadt.co.uk,LEADER
Trump,PERSON,29,34,nltk,34,https://www.eadt.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,eadt.co.uk,LEADER
Canadian,GPE,0,8,nltk,36,https://www.theargus.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,theargus.co.uk,LEADER
Trump,PERSON,29,34,nltk,36,https://www.theargus.co.uk/news/national/25100050.canadian-leader-tells-nation-trump-tariff-war-can-help-domestic-trade/,theargus.co.uk,LEADER
Canada,GPE,0,6,nltk,37,https://www.winnipegfreepress.com/canada/2025/03/31/canada-federal-election-2025-where-the-leaders-are-on-monday-march-31,winnipegfreepress.com,LEADER
Party,GPE,0,5,nltk,38,https://www.winnipegfreepress.com/canada/2025/04/15/party-leaders-in-montreal-ahead-of-this-weeks-election-debates,winnipegfreepress.com,LEADER
Montreal,GPE,17,25,nltk,38,https://www.winnipegfreepress.com/canada/2025/04/15/party-leaders-in-montreal-ahead-of-this-weeks-election-debates,winnipegfreepress.com,LEADER
Dutton,GPE,0,6,nltk,39,https://www.abc.net.au/news/2025-04-08/duttons-father-suffered-medical-episode-election-2025/105153648,abc.net.au,LEADER
Opinion,GPE,0,7,nltk,40,https://www.theglobeandmail.com/politics/opinion/article-which-poilievre-will-show-up-for-the-french-debate/,theglobeandmail.com,LEADER
Which Poilievre,PERSON,10,25,nltk,40,https://www.theglobeandmail.com/politics/opinion/article-which-poilievre-will-show-up-for-the-french-debate/,theglobeandmail.com,LEADER
French,GPE,47,53,nltk,40,https://www.theglobeandmail.com/politics/opinion/article-which-poilievre-will-show-up-for-the-french-debate/,theglobeandmail.com,LEADER
Carney,GPE,0,6,nltk,41,https://www.therecord.com/politics/political-opinion/carney-and-poilievre-fend-off-attacks-from-all-sides-during-french-debate/article_cacaf35c-0328-5a8c-b0a7-7fe370030a7d.html,therecord.com,LEADER
French,GPE,60,66,nltk,41,https://www.therecord.com/politics/political-opinion/carney-and-poilievre-fend-off-attacks-from-all-sides-during-french-debate/article_cacaf35c-0328-5a8c-b0a7-7fe370030a7d.html,therecord.com,LEADER
Annamalai,PERSON,14,23,nltk,42,https://indianexpress.com/article/political-pulse/annamalai-speculation-bjp-tamil-nadu-chief-9941885/,indianexpress.com,LEADER
BJP,ORGANIZATION,46,49,nltk,42,https://indianexpress.com/article/political-pulse/annamalai-speculation-bjp-tamil-nadu-chief-9941885/,indianexpress.com,LEADER
Tamil Nadu,PERSON,80,90,nltk,42,https://indianexpress.com/article/political-pulse/annamalai-speculation-bjp-tamil-nadu-chief-9941885/,indianexpress.com,LEADER
Jagmeet Singh,PERSON,4,17,nltk,43,https://nationalpost.com/news/politics/why-jagmeet-singh-lost-his-cool-during-the-french-language-debate,nationalpost.com,LEADER
French,GPE,43,49,nltk,43,https://nationalpost.com/news/politics/why-jagmeet-singh-lost-his-cool-during-the-french-language-debate,nationalpost.com,LEADER
Jagmeet Singh,PERSON,4,17,nltk,45,https://ottawacitizen.com:443/news/politics/why-jagmeet-singh-lost-his-cool-during-the-french-language-debate,ottawacitizen.com,LEADER
French,GPE,43,49,nltk,45,https://ottawacitizen.com:443/news/politics/why-jagmeet-singh-lost-his-cool-during-the-french-language-debate,ottawacitizen.com,LEADER
Singh,PERSON,20,25,nltk,46,https://torontosun.com/news/national/federal_elections/lack-of-fireworks-singhs-constant-interruptions-highlight-english-leaders-debate,torontosun.com,LEADER
Relevant,GPE,0,8,nltk,47,https://www.newsday.co.zw/opinion-analysis/article/200040134/relevant-leadership,newsday.co.zw,LEADER
Zimbabwe,PERSON,30,38,nltk,47,https://www.newsday.co.zw/opinion-analysis/article/200040134/relevant-leadership,newsday.co.zw,LEADER
KPMG,ORGANIZATION,0,4,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
KPMG Announces,ORGANIZATION,11,25,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
Strategic Leadership Appointments,PERSON,32,65,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
Exceptional Client Service,ORGANIZATION,77,103,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
Enhance Value Creation,PERSON,106,128,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
Deliver Quality,PERSON,135,150,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
Asset Managers,PERSON,154,168,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
Private Equity Firms,ORGANIZATION,171,191,nltk,48,https://www.finanznachrichten.de/nachrichten-2025-04/65023428-kpmg-llp-kpmg-announces-three-strategic-leadership-appointments-to-provide-exceptional-client-service-enhance-value-creation-and-deliver-quality-to-296.htm,finanznachrichten.de,LEADER
English,GPE,39,46,nltk,49,https://www.theglobeandmail.com/politics/article-politics-insider-leaders-face-off-in-english-debate-final-encounter/,theglobeandmail.com,LEADER
Carney,PERSON,0,6,nltk,50,https://www.therecord.com/politics/federal/carney-needed-to-escape-this-debate-unbloodied-and-even-with-a-smile-poilievre-couldn-t/article_17cd73d7-dc25-5a6a-abf9-f3c9996d1552.html,therecord.com,LEADER
Poilievre,GPE,71,80,nltk,50,https://www.therecord.com/politics/federal/carney-needed-to-escape-this-debate-unbloodied-and-even-with-a-smile-poilievre-couldn-t/article_17cd73d7-dc25-5a6a-abf9-f3c9996d1552.html,therecord.com,LEADER
Allow,GPE,0,5,nltk,51,https://www.hindustantimes.com/cities/chandigarh-news/allow-people-to-meet-farmer-leader-jagjit-singh-dallewal-hc-to-punjab-101743106270665.html,hindustantimes.com,LEADER
Jagjit Singh Dallewal,PERSON,35,56,nltk,51,https://www.hindustantimes.com/cities/chandigarh-news/allow-people-to-meet-farmer-leader-jagjit-singh-dallewal-hc-to-punjab-101743106270665.html,hindustantimes.com,LEADER
Canada,GPE,0,6,nltk,52,https://timesofindia.indiatimes.com/world/rest-of-world/canada-federal-elections-2025-explained-whos-running-who-can-vote-what-to-watch-and-why-it-matters-mark-carney-pierre-poilievre-april-28/articleshow/120421888.cms,timesofindia.indiatimes.com,LEADER
Canada,GPE,0,6,nltk,53,https://www.winnipegfreepress.com/canada/2025/03/30/canada-federal-election-2025-where-the-leaders-are-on-sunday-march-30,winnipegfreepress.com,LEADER
Singh,PERSON,0,5,nltk,55,https://www.sohu.com/a/885822955_122342248,sohu.com,LEADER
Limited Speaking Time,PERSON,22,43,nltk,55,https://www.sohu.com/a/885822955_122342248,sohu.com,LEADER
French,GPE,47,53,nltk,55,https://www.sohu.com/a/885822955_122342248,sohu.com,LEADER
Debate,ORGANIZATION,54,60,nltk,55,https://www.sohu.com/a/885822955_122342248,sohu.com,LEADER
Leader,GPE,69,75,nltk,55,https://www.sohu.com/a/885822955_122342248,sohu.com,LEADER
Tamil,PERSON,0,5,nltk,56,https://news.webindia123.com/news/Articles/India/20250409/4305732.html,news.webindia123.com,LEADER
Nadu Assembly,PERSON,6,19,nltk,56,https://news.webindia123.com/news/Articles/India/20250409/4305732.html,news.webindia123.com,LEADER
Congress,ORGANIZATION,58,66,nltk,56,https://news.webindia123.com/news/Articles/India/20250409/4305732.html,news.webindia123.com,LEADER
Kumari Anantham,PERSON,74,89,nltk,56,https://news.webindia123.com/news/Articles/India/20250409/4305732.html,news.webindia123.com,LEADER
Jagmeet Singh,PERSON,4,17,nltk,57,https://calgaryherald.com:443/news/politics/why-jagmeet-singh-lost-his-cool-during-the-french-language-debate,calgaryherald.com,LEADER
French,GPE,43,49,nltk,57,https://calgaryherald.com:443/news/politics/why-jagmeet-singh-lost-his-cool-during-the-french-language-debate,calgaryherald.com,LEADER
Carney,GPE,0,6,nltk,58,https://www.theglobeandmail.com/politics/article-carney-poilievre-tout-le-monde-en-parle-interview/,theglobeandmail.com,LEADER
Poilievre,PERSON,9,18,nltk,58,https://www.theglobeandmail.com/politics/article-carney-poilievre-tout-le-monde-en-parle-interview/,theglobeandmail.com,LEADER
Quebec,GPE,59,65,nltk,58,https://www.theglobeandmail.com/politics/article-carney-poilievre-tout-le-monde-en-parle-interview/,theglobeandmail.com,LEADER
McCarthy,PERSON,0,8,nltk,59,https://www.breitbart.com/clips/2025/04/19/mccarthy-predicts-democrat-civil-war-with-aoc-bernie-against-biden-harris-pelosi-schumer-jeffries/,breitbart.com,LEADER
AOC,ORGANIZATION,42,45,nltk,59,https://www.breitbart.com/clips/2025/04/19/mccarthy-predicts-democrat-civil-war-with-aoc-bernie-against-biden-harris-pelosi-schumer-jeffries/,breitbart.com,LEADER
Bernie Against Biden,PERSON,48,68,nltk,59,https://www.breitbart.com/clips/2025/04/19/mccarthy-predicts-democrat-civil-war-with-aoc-bernie-against-biden-harris-pelosi-schumer-jeffries/,breitbart.com,LEADER
Harris,GPE,71,77,nltk,59,https://www.breitbart.com/clips/2025/04/19/mccarthy-predicts-democrat-civil-war-with-aoc-bernie-against-biden-harris-pelosi-schumer-jeffries/,breitbart.com,LEADER
Pelosi,GPE,80,86,nltk,59,https://www.breitbart.com/clips/2025/04/19/mccarthy-predicts-democrat-civil-war-with-aoc-bernie-against-biden-harris-pelosi-schumer-jeffries/,breitbart.com,LEADER
Schumer,PERSON,89,96,nltk,59,https://www.breitbart.com/clips/2025/04/19/mccarthy-predicts-democrat-civil-war-with-aoc-bernie-against-biden-harris-pelosi-schumer-jeffries/,breitbart.com,LEADER
Canada,GPE,0,6,nltk,60,https://www.winnipegfreepress.com/canada/2025/04/03/canada-federal-election-2025-where-the-leaders-are-on-thursday-april-2,winnipegfreepress.com,LEADER
Tamil,PERSON,0,5,nltk,61,https://aninews.in/news/national/politics/tamil-nadu-bjps-annamalai-pays-tribute-congress-leader-kumari-anantham20250410140152/,aninews.in,LEADER
Nadu,GPE,6,10,nltk,61,https://aninews.in/news/national/politics/tamil-nadu-bjps-annamalai-pays-tribute-congress-leader-kumari-anantham20250410140152/,aninews.in,LEADER
BJP Annamalai,ORGANIZATION,13,26,nltk,61,https://aninews.in/news/national/politics/tamil-nadu-bjps-annamalai-pays-tribute-congress-leader-kumari-anantham20250410140152/,aninews.in,LEADER
Congress,ORGANIZATION,40,48,nltk,61,https://aninews.in/news/national/politics/tamil-nadu-bjps-annamalai-pays-tribute-congress-leader-kumari-anantham20250410140152/,aninews.in,LEADER
Kumari Anantham,PERSON,56,71,nltk,61,https://aninews.in/news/national/politics/tamil-nadu-bjps-annamalai-pays-tribute-congress-leader-kumari-anantham20250410140152/,aninews.in,LEADER
French,GPE,0,6,nltk,62,https://www.cp24.com/federal-election-2025/2025/04/16/carneys-economic-record-under-attack-as-poilievre-denies-hed-be-most-trump-like-leader-live-debate-updates-here/,cp24.com,LEADER
Akhilesh Yadav,PERSON,4,18,nltk,63,https://indianexpress.com/article/political-pulse/akhilesh-yadav-meeting-congress-leader-samajwadi-party-nervous-9949993/,indianexpress.com,LEADER
Congress,ORGANIZATION,34,42,nltk,63,https://indianexpress.com/article/political-pulse/akhilesh-yadav-meeting-congress-leader-samajwadi-party-nervous-9949993/,indianexpress.com,LEADER
Canadian,GPE,0,8,nltk,64,https://www.ipswichstar.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,ipswichstar.co.uk,LEADER
Mark Carney,PERSON,16,27,nltk,64,https://www.ipswichstar.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,ipswichstar.co.uk,LEADER
Trump,PERSON,33,38,nltk,64,https://www.ipswichstar.co.uk/news/national/25096545.canadian-leader-mark-carney-says-trump-key-issue-national-election/,ipswichstar.co.uk,LEADER
Green,GPE,0,5,nltk,65,https://www.therecord.com/politics/federal/green-party-leader-says-keeping-him-out-of-election-debates-is-undemocratic/article_facbb1a5-ba34-5782-8108-fb3aea9ae775.html,therecord.com,LEADER
Party,ORGANIZATION,6,11,nltk,65,https://www.therecord.com/politics/federal/green-party-leader-says-keeping-him-out-of-election-debates-is-undemocratic/article_facbb1a5-ba34-5782-8108-fb3aea9ae775.html,therecord.com,LEADER
Canada,GPE,0,6,nltk,66,https://www.bnnbloomberg.ca/federal-election-2025/2025/04/15/singh-calls-for-french-language-debate-to-be-rescheduled-due-to-conflict-with-habs-game/,bnnbloomberg.ca,LEADER
Singh,PERSON,18,23,nltk,66,https://www.bnnbloomberg.ca/federal-election-2025/2025/04/15/singh-calls-for-french-language-debate-to-be-rescheduled-due-to-conflict-with-habs-game/,bnnbloomberg.ca,LEADER
Blanchet,PERSON,26,34,nltk,66,https://www.bnnbloomberg.ca/federal-election-2025/2025/04/15/singh-calls-for-french-language-debate-to-be-rescheduled-due-to-conflict-with-habs-game/,bnnbloomberg.ca,LEADER
French,GPE,40,46,nltk,66,https://www.bnnbloomberg.ca/federal-election-2025/2025/04/15/singh-calls-for-french-language-debate-to-be-rescheduled-due-to-conflict-with-habs-game/,bnnbloomberg.ca,LEADER
Habs,ORGANIZATION,71,75,nltk,66,https://www.bnnbloomberg.ca/federal-election-2025/2025/04/15/singh-calls-for-french-language-debate-to-be-rescheduled-due-to-conflict-with-habs-game/,bnnbloomberg.ca,LEADER
Rebel,PERSON,0,5,nltk,67,https://www.winnipegfreepress.com/canada/2025/04/16/rebel-news-other-right-wing-media-dominate-press-conferences-after-french-debate,winnipegfreepress.com,LEADER
News,GPE,6,10,nltk,67,https://www.winnipegfreepress.com/canada/2025/04/16/rebel-news-other-right-wing-media-dominate-press-conferences-after-french-debate,winnipegfreepress.com,LEADER
French,GPE,71,77,nltk,67,https://www.winnipegfreepress.com/canada/2025/04/16/rebel-news-other-right-wing-media-dominate-press-conferences-after-french-debate,winnipegfreepress.com,LEADER
Canadian,GPE,0,8,nltk,68,https://www.mtlblog.com/mark-carney-american-products-debate,mtlblog.com,LEADER
Canada,GPE,0,6,nltk,70,https://www.winnipegfreepress.com/canada/2025/04/07/canada-election-2025-where-the-leaders-are-on-monday-april-7,winnipegfreepress.com,LEADER
Jagjit,PERSON,0,6,nltk,71,https://timesofindia.indiatimes.com/city/chandigarh/jagjit-singh-dallewal-has-not-ended-indefinite-fast-despite-drinking-water-says-farmer-leader-abhimanyu-kohar/articleshow/119700140.cms,timesofindia.indiatimes.com,LEADER
Singh Dallewal,PERSON,7,21,nltk,71,https://timesofindia.indiatimes.com/city/chandigarh/jagjit-singh-dallewal-has-not-ended-indefinite-fast-despite-drinking-water-says-farmer-leader-abhimanyu-kohar/articleshow/119700140.cms,timesofindia.indiatimes.com,LEADER
